vil_zh,vil_en
大成二巷,DACHENG 2ND LN.
大成三巷,DACHENG 3RD LN.
大成五巷,DACHENG 5TH LN.
大成里,DACHENG VIL.
大成巷,DACHENG LN.
大有村,DAYOU VIL.
大有里,DAYOU VIL.
大池村,DACHI VIL.
大竹村,DAZHU VIL.
大竹里,DAZHU VIL.
大竹巷,DAZHU LN.
大老巷,DALAO LN.
大西村,DAXI VIL.
大坑村,DAKENG VIL.
大坑里,DAKENG VIL.
大坑巷,DAKENG LN.
大坑墘巷,DAKENGQIAN LN.
大宏里,DAHONG VIL.
大村村,DACUN VIL.
大村里,DACUN VIL.
大肚村,DADU VIL.
大肚里,DADU VIL.
大里里,DALI VIL.
大佳里,DAJIA VIL.
大和里,DAHE VIL.
大坡村,DAPO VIL.
大坡里,DAPO VIL.
大坪村,DAPING VIL.
大坪里,DAPING VIL.
大坪巷,DAPING LN.
大坵村,DAQIU VIL.
大定里,DADING VIL.
大岩巷,DAYAN LN.
大岸巷,DA’AN LN.
大忠村,DAZHONG VIL.
大忠里,DAZHONG VIL.
大昌里,DACHANG VIL.
大昌巷,DACHANG LN.
大明一巷,DAMING 1ST LN.
大明二巷,DAMING 2ND LN.
大明里,DAMING VIL.
大明巷,DAMING LN.
大東里,DADONG VIL.
大東巷,DADONG LN.
大林村,DALIN VIL.
大林里,DALIN VIL.
大林巷,DALIN LN.
大武村,DAWU VIL.
大武里,DAWU VIL.
大河一巷,DAHE 1ST LN.
大河二巷,DAHE 2ND LN.
大河村,DAHE VIL.
大河里,DAHE VIL.
大直里,DAZHI VIL.
大社村,DASHE VIL.
大社里,DASHE VIL.
大舍里,DASHE VIL.
大門巷,DAMEN LN.
大信里,DAXIN VIL.
大信巷,DAXIN LN.
大勇里,DAYONG VIL.
大勇巷,DAYONG LN.
大南村,DANAN VIL.
大南里,DANAN VIL.
大城村,DACHENG VIL.
大城里,DACHENG VIL.
大城巷,DACHENG LN.
大客里,DAKE VIL.
大洋里,DAYANG VIL.
大洋巷,DAYANG LN.
大津里,DAJIN VIL.
大洲村,DAZHOU VIL.
大洲里,DAZHOU VIL.
大眉里,DAMEI VIL.
大禹里,DAYU VIL.
大科里,DAKE VIL.
大突里,DATU VIL.
大突巷,DATU LN.
大美村,DAMEI VIL.
大美里,DAMEI VIL.
大苓里,DALING VIL.
大茂巷,DAMAO LN.
大倉村,DACANG VIL.
大厝里,DACUO VIL.
大厝巷,DACUO LN.
大埔自強巷,DAPUZIQIANG LN.
大埔村,DAPU VIL.
大埔里,DAPU VIL.
大埔巷,DAPU LN.
大埕里,DACHENG VIL.
大展巷,DAZHAN LN.
大峰里,DAFENG VIL.
大峰巷,DAFENG LN.
大崁里,DAKAN VIL.
大庭里,DATING VIL.
大庭巷,DATING LN.
大恩里,DA’EN VIL.
大海里,DAHAI VIL.
大荖里,DALAO VIL.
大馬村,DAMA VIL.
大區巷,DAQU LN.
大埤里,DAPI VIL.
大堀村,DAJUE VIL.
大堀里,DAJUE VIL.
大崎村,DAQI VIL.
大崎里,DAQI VIL.
大崎巷,DAQI LN.
大崗里,DAGANG VIL.
大崙一巷,DALUN 1ST LN.
大崙二巷,DALUN 2ND LN.
大崙村,DALUN VIL.
大崙里,DALUN VIL.
大崙巷,DALUN LN.
大強里,DAQIANG VIL.
大旋巷,DAXUAN LN.
大涼里,DALIANG VIL.
大眾巷,DAZHONG LN.
大莊里,DAZHUANG VIL.
大連里,DALIAN VIL.
大鳥村,DANIAO VIL.
大勝巷,DASHENG LN.
大博巷,DABO LN.
大富村,DAFU VIL.
大富里,DAFU VIL.
大富巷,DAFU LN.
大智里,DAZHI VIL.
大智巷,DAZHI LN.
大森巷,DASEN LN.
大港里,DAGANG VIL.
大湖村,DAHU VIL.
大湖里,DAHU VIL.
大湖巷,DAHU LN.
大湳里,DANAN VIL.
大湳巷,DANAN LN.
大發里,DAFA VIL.
大舜巷,DASHUN LN.
大華村,DAHUA VIL.
大華里,DAHUA VIL.
大進村,DAJIN VIL.
大鄉里,DAXIANG VIL.
大雁村,DAYAN VIL.
大雁巷,DAYAN LN.
大雅里,DAYA VIL.
大順里,DASHUN VIL.
大園村,DAYUAN VIL.
大園里,DAYUAN VIL.
大園巷,DAYUAN LN.
大廈巷,DAXIA LN.
大愛一巷,DA’AI 1ST LN.
大愛二巷,DA’AI 2ND LN.
大愛三巷,DA’AI 3RD LN.
大愛里,DA’AI VIL.
大愛巷,DA’AI LN.
大新村,DAXINCUN
大新里,DAXIN VIL.
大新巷,DAXIN LN.
大楓里,DAFENG VIL.
大業里,DAYE VIL.
大溝村,DAGOU VIL.
大溝巷,DAGOU LN.
大溪里,DAXI VIL.
大溪巷,DAXI LN.
大義村,DAYI VIL.
大義里,DAYI VIL.
大義巷,DAYI LN.
大葛里,DAGE VIL.
大誠里,DACHENG VIL.
大農里,DANONG VIL.
大道里,DADAO VIL.
大隘村,DA’AI VIL.
大旗村,DAQI VIL.
大榮里,DARONG VIL.
大榮巷,DARONG LN.
大漢村,DAHAN VIL.
大漢里,DAHAN VIL.
大福村,DAFU VIL.
大福里,DAFU VIL.
大福巷,DAFU LN.
大管巷,DAGUAN LN.
大墩里,DADUN VIL.
大寮村,DALIAO VIL.
大寮里,DALIAO VIL.
大廟里,DAMIAO VIL.
大德村,DADE VIL.
大德里,DADE VIL.
大德巷,DADE LN.
大慶里,DAQING VIL.
大潭村,DATAN VIL.
大潭里,DATAN VIL.
大鞍里,DA’AN VIL.
大學里,DAXUE VIL.
大樹里,DASHU VIL.
大橋村,DAQIAO VIL.
大橋里,DAQIAO VIL.
大橋巷,DAQIAO LN.
大糖里,DATANG VIL.
大興村,DAXING VIL.
大興里,DAXING VIL.
大興巷,DAXING LN.
大遼里,DALIAO VIL.
大龍村,DALONG VIL.
大嶺巷,DALING LN.
大營里,DAYING VIL.
大隱村,DAYIN VIL.
大霞里,DAXIA VIL.
大豐村,DAFENG VIL.
大豐里,DAFENG VIL.
大關巷,DAGUAN LN.
大鵬里,DAPENG VIL.
大饒里,DARAO VIL.
大灣里,DAWAN VIL.
大觀里,DAGUAN VIL.
大觀巷,DAGUAN LN.
子茂村,ZIMAO VIL.
子龍里,ZILONG VIL.
小山巷,XIAOSHAN LN.
小份巷,XIAOFEN LN.
小西村,XIAOXI VIL.
小西里,XIAOXI VIL.
小赤村,XIAOCHI VIL.
小坪里,XIAOPING VIL.
小坵村,XIAOQIU VIL.
小東里,XIAODONG VIL.
小林里,XIAOLIN VIL.
小金瓜寮巷,XIAOJINGUALIAO LN.
小門村,XIAOMEN VIL.
小城里,XIAOCHENG VIL.
小原巷,XIAOYUAN LN.
小埤里,XIAOPI VIL.
小崎巷,XIAOQI LN.
小崙里,XIAOLUN VIL.
小康里,XIAOKANG VIL.
小粗坑巷,XIAOCUKENG LN.
小港里,XIAOGANG VIL.
小新里,XIAOXIN VIL.
小溪巷,XIAOXI LN.
小路巷,XIAOLU LN.
小旗巷,XIAOQI LN.
山上里,SHANSHANG VIL.
山上巷,SHANSHANG LN.
山下一巷,SHANXIA 1ST LN.
山下二巷,SHANXIA 2ND LN.
山下三巷,SHANXIA 3RD LN.
山下里,SHANXIA VIL.
山下巷,SHANXIA LN.
山中村,SHANZHONG VIL.
山內村,SHANNEI VIL.
山水里,SHANSHUI VIL.
山水巷,SHANSHUI LN.
山外里,SHANWAI VIL.
山皮里,SHANPI VIL.
山光里,SHANGUANG VIL.
